,bandwidth,N,function,time,holdout_likelihood
0,SP_network_normal_rule,100,kurtotic,0.0029900074005126953,-76.96783221805637
0,kdenetwork_ucv,100,separated_bimodal,0.15330195426940918,-55.77211913881253
0,kdenetwork_bcv,100,separated_bimodal,5.431964159011841,-85.0166259417636
0,kdenetwork_scv,100,separated_bimodal,73.33306884765625,-85.0166259417636
0,kdenetwork_PI,100,separated_bimodal,4.968981027603149,-85.0166259417636
0,kde_network_normal_rule,100,separated_bimodal,0.00498652458190918,-70.1203214436245
0,SP_network_ucv,100,separated_bimodal,0.16523194313049316,-55.77211913881253
0,SP_network_bcv,100,separated_bimodal,3.6931886672973633,-78.6018301592471
0,SP_network_scv,100,separated_bimodal,16.775415420532227,-72.26091326466798
0,SP_network_PI,100,separated_bimodal,3.310394763946533,-78.6018301592471
0,SP_network_normal_rule,100,separated_bimodal,0.0040111541748046875,-70.1203214436245
0,kdenetwork_ucv,100,asymmetric bimodal,0.19697833061218262,-60.411964081739896
0,kdenetwork_bcv,100,asymmetric bimodal,13.339187383651733,-63.90480166622568
0,kdenetwork_scv,100,asymmetric bimodal,22.7656147480011,-63.90480166622568
0,kdenetwork_PI,100,asymmetric bimodal,5.031544923782349,-63.90480166622568
0,kde_network_normal_rule,100,asymmetric bimodal,0.005013704299926758,-59.390504838488795
0,SP_network_ucv,100,asymmetric bimodal,0.055108070373535156,-59.758729337037394
0,SP_network_bcv,100,asymmetric bimodal,1.4274308681488037,-63.00482111880245
0,SP_network_scv,100,asymmetric bimodal,7.902865886688232,-63.00482111880245
0,SP_network_PI,100,asymmetric bimodal,5.0185792446136475,-58.29516386946939
0,SP_network_normal_rule,100,asymmetric bimodal,0.002016782760620117,-58.38774134280628
0,kdenetwork_ucv,100,kurtotic,0.08976006507873535,-77.47887871099397
0,kdenetwork_bcv,100,kurtotic,4.109011888504028,-73.8169095995479
0,kdenetwork_scv,100,kurtotic,25.032058715820312,-73.8169095995479
0,kdenetwork_PI,100,kurtotic,5.035533905029297,-73.8169095995479
0,kde_network_normal_rule,100,kurtotic,0.00498652458190918,-74.54623430171213
0,SP_network_ucv,100,kurtotic,0.02792525291442871,-74.30152453342629
0,SP_network_bcv,100,kurtotic,1.9158763885498047,-74.30152453342629
0,SP_network_scv,100,kurtotic,8.224007606506348,-74.30152453342629
0,SP_network_PI,100,kurtotic,1.6725270748138428,-74.30152453342629
0,SP_network_normal_rule,100,kurtotic,0.000997781753540039,-74.30152453342629
0,kdenetwork_ucv,100,separated_bimodal,0.13463997840881348,-51.37044636557055
0,kdenetwork_bcv,100,separated_bimodal,7.821085214614868,-85.69862224511573
0,kdenetwork_scv,100,separated_bimodal,19.50064492225647,-85.69862224511573
0,kdenetwork_PI,100,separated_bimodal,4.964179992675781,-85.69862224511573
0,kde_network_normal_rule,100,separated_bimodal,0.00498652458190918,-66.09506750085845
0,SP_network_ucv,100,separated_bimodal,0.08776569366455078,-51.37044636557055
0,SP_network_bcv,100,separated_bimodal,15.476612329483032,-77.4852869883271
0,SP_network_scv,100,separated_bimodal,60.09937500953674,-67.08079386363934
0,SP_network_PI,100,separated_bimodal,6.604313850402832,-74.83615364676962
0,SP_network_normal_rule,100,separated_bimodal,0.007978439331054688,-66.09506750085845
0,kdenetwork_ucv,100,asymmetric bimodal,0.15278959274291992,-54.92539532664834
0,kdenetwork_bcv,100,asymmetric bimodal,6.752439975738525,-73.25611233735927
0,kdenetwork_scv,100,asymmetric bimodal,20.582378149032593,-73.25611233735927
0,kdenetwork_PI,100,asymmetric bimodal,10.106971979141235,-73.25611233735927
0,kde_network_normal_rule,100,asymmetric bimodal,0.003989458084106445,-54.63142064107437
0,SP_network_ucv,100,asymmetric bimodal,0.053975820541381836,-55.1819600275621
0,SP_network_bcv,100,asymmetric bimodal,1.5220468044281006,-58.4906972920138
0,SP_network_scv,100,asymmetric bimodal,6.994295597076416,-58.4906972920138
0,SP_network_PI,100,asymmetric bimodal,1.6755192279815674,-58.4906972920138
0,SP_network_normal_rule,100,asymmetric bimodal,0.0029916763305664062,-54.41154814427189
0,kdenetwork_ucv,100,kurtotic,0.013962745666503906,-64.81904379299384
0,kdenetwork_bcv,100,kurtotic,0.03490638732910156,-67.06605322211747
0,kdenetwork_scv,100,kurtotic,0.0608372688293457,-67.06605322211747
0,kdenetwork_PI,100,kurtotic,0.020943880081176758,-67.06605322211747
0,kde_network_normal_rule,100,kurtotic,0.002991914749145508,-65.44092106890926
0,SP_network_ucv,100,kurtotic,0.06482696533203125,-64.30894964956263
0,SP_network_bcv,100,kurtotic,5.124296426773071,-66.38363377242105
0,SP_network_scv,100,kurtotic,16.324345350265503,-66.47029035435321
0,SP_network_PI,100,kurtotic,3.365001678466797,-66.47029035435321
0,SP_network_normal_rule,100,kurtotic,0.003989696502685547,-64.88995637296992
0,kdenetwork_ucv,100,separated_bimodal,0.1545865535736084,-45.433433889622485
0,kdenetwork_bcv,100,separated_bimodal,9.649195671081543,-76.30719626012042
0,kdenetwork_scv,100,separated_bimodal,79.9880952835083,-76.30719626012042
0,kdenetwork_PI,100,separated_bimodal,4.9597368240356445,-76.30719626012042
0,kde_network_normal_rule,100,separated_bimodal,0.004986286163330078,-60.112710602877385
0,SP_network_ucv,100,separated_bimodal,0.17054438591003418,-45.433433889622485
0,SP_network_bcv,100,separated_bimodal,4.079092025756836,-68.91150226689584
0,SP_network_scv,100,separated_bimodal,17.519150018692017,-59.60205758712885
0,SP_network_PI,100,separated_bimodal,3.3061585426330566,-68.91150226689584
0,SP_network_normal_rule,100,separated_bimodal,0.004986763000488281,-60.112710602877385
0,kdenetwork_ucv,100,asymmetric bimodal,0.2184157371520996,-55.749680981007586
0,kdenetwork_bcv,100,asymmetric bimodal,5.090386867523193,-66.28725431116206
0,kdenetwork_scv,100,asymmetric bimodal,23.24384117126465,-66.28725431116206
0,kdenetwork_PI,100,asymmetric bimodal,10.084033489227295,-66.28725431116206
0,kde_network_normal_rule,100,asymmetric bimodal,0.004986763000488281,-58.3403406710277
0,SP_network_ucv,100,asymmetric bimodal,0.1216745376586914,-53.252311933151944
0,SP_network_bcv,100,asymmetric bimodal,1.4650821685791016,-60.869465579998334
0,SP_network_scv,100,asymmetric bimodal,7.792162179946899,-60.869465579998334
0,SP_network_PI,100,asymmetric bimodal,5.016584873199463,-59.04705009013996
0,SP_network_normal_rule,100,asymmetric bimodal,0.003989458084106445,-56.00649888987131
0,kdenetwork_ucv,100,kurtotic,0.08078336715698242,-77.68952475759582
0,kdenetwork_bcv,100,kurtotic,7.68245530128479,-75.6445497154835
0,kdenetwork_scv,100,kurtotic,24.52341914176941,-75.6445497154835
0,kdenetwork_PI,100,kurtotic,10.068075895309448,-75.6445497154835
0,kde_network_normal_rule,100,kurtotic,0.004986763000488281,-75.75260585812384
0,SP_network_ucv,100,kurtotic,0.05983996391296387,-76.09675718929138
0,SP_network_bcv,100,kurtotic,5.526221990585327,-75.23245854261012
0,SP_network_scv,100,kurtotic,33.90632748603821,-74.23027364610502
0,SP_network_PI,100,kurtotic,5.030547142028809,-74.75632034643702
0,SP_network_normal_rule,100,kurtotic,0.00498652458190918,-75.82413021042944
0,kdenetwork_ucv,100,separated_bimodal,0.2124314308166504,-64.72076847930077
0,kdenetwork_bcv,100,separated_bimodal,7.483986139297485,-83.50644369071178
0,kdenetwork_scv,100,separated_bimodal,71.86980557441711,-83.50644369071178
0,kdenetwork_PI,100,separated_bimodal,4.966717958450317,-83.50644369071178
0,kde_network_normal_rule,100,separated_bimodal,0.003989696502685547,-65.11831595888333
0,SP_network_ucv,100,separated_bimodal,0.14760518074035645,-59.33264139649231
0,SP_network_bcv,100,separated_bimodal,9.818742752075195,-73.44408755571038
0,SP_network_scv,100,separated_bimodal,71.77306413650513,-63.682576520168666
0,SP_network_PI,100,separated_bimodal,6.609324932098389,-72.6413986541587
0,SP_network_normal_rule,100,separated_bimodal,0.007978439331054688,-65.11831595888333
0,kdenetwork_ucv,100,asymmetric bimodal,0.1934826374053955,-52.16058273313262
0,kdenetwork_bcv,100,asymmetric bimodal,5.4643871784210205,-64.43402718954954
0,kdenetwork_scv,100,asymmetric bimodal,46.544530153274536,-64.43402718954954
0,kdenetwork_PI,100,asymmetric bimodal,5.083406209945679,-64.43402718954954
0,kde_network_normal_rule,100,asymmetric bimodal,0.004987001419067383,-53.11290259133577
0,SP_network_ucv,100,asymmetric bimodal,0.21741819381713867,-52.16058273313262
0,SP_network_bcv,100,asymmetric bimodal,4.131950616836548,-57.51332883644204
0,SP_network_scv,100,asymmetric bimodal,15.505534887313843,-57.51332883644204
0,SP_network_PI,100,asymmetric bimodal,3.3849477767944336,-57.51332883644204
0,SP_network_normal_rule,100,asymmetric bimodal,0.00498652458190918,-53.11290259133577
0,kdenetwork_ucv,100,kurtotic,0.09773826599121094,-74.32645268461005
0,kdenetwork_bcv,100,kurtotic,5.270904302597046,-73.54694908932004
0,kdenetwork_scv,100,kurtotic,23.67568612098694,-73.54694908932004
0,kdenetwork_PI,100,kurtotic,5.057475566864014,-73.54694908932004
0,kde_network_normal_rule,100,kurtotic,0.00498652458190918,-72.00587410490103
0,SP_network_ucv,100,kurtotic,0.02892303466796875,-71.86121915849179
0,SP_network_bcv,100,kurtotic,1.6485912799835205,-71.92098980364204
0,SP_network_scv,100,kurtotic,6.778871774673462,-72.22740155476221
0,SP_network_PI,100,kurtotic,1.6765167713165283,-72.0932823296275
0,SP_network_normal_rule,100,kurtotic,0.002991914749145508,-71.80707155597037
0,kdenetwork_ucv,100,separated_bimodal,0.1934821605682373,-55.49848614206522
0,kdenetwork_bcv,100,separated_bimodal,8.578060150146484,-84.85368388127328
0,kdenetwork_scv,100,separated_bimodal,62.340240478515625,-84.85368388127328
0,kdenetwork_PI,100,separated_bimodal,4.963490962982178,-84.85368388127328
0,kde_network_normal_rule,100,separated_bimodal,0.003989696502685547,-67.14578404031205
0,SP_network_ucv,100,separated_bimodal,0.14860248565673828,-55.49848614206522
0,SP_network_bcv,100,separated_bimodal,3.9973104000091553,-76.72388699002605
0,SP_network_scv,100,separated_bimodal,55.027530908584595,-68.66172481719715
0,SP_network_PI,100,separated_bimodal,6.60831618309021,-76.67371982086561
0,SP_network_normal_rule,100,separated_bimodal,0.0069811344146728516,-67.14578404031205
0,kdenetwork_ucv,100,asymmetric bimodal,0.10484647750854492,-55.888637352496566
0,kdenetwork_bcv,100,asymmetric bimodal,5.715597629547119,-65.41760024721133
