,bandwidth,N,function,time,holdout_likelihood
0,SP_network_normal_rule,10000,kurtotic,0.5616867542266846,-7081.532845410391
0,kdenetwork_ucv,10000,bimodal,0.6387240886688232,-5100.70281506334
0,kde_network_normal_rule,10000,bimodal,0.17531108856201172,-5102.727209597939
0,SP_network_ucv,10000,bimodal,1.6573891639709473,-5100.70281506334
0,SP_network_normal_rule,10000,bimodal,0.19379401206970215,-5102.727209597939
0,kdenetwork_ucv,10000,trimodal,3.2461764812469482,-5508.172603301036
0,kde_network_normal_rule,10000,trimodal,0.3533596992492676,-5501.301505091158
0,SP_network_ucv,10000,trimodal,6.726264953613281,-5508.172603301036
0,SP_network_normal_rule,10000,trimodal,0.5666670799255371,-5501.301505091158
0,kdenetwork_ucv,10000,separated_bimodal,14.26693844795227,-4905.67407520052
0,kde_network_normal_rule,10000,separated_bimodal,0.3493161201477051,-5398.79519524602
0,SP_network_ucv,10000,separated_bimodal,6.248634576797485,-4905.67407520052
0,SP_network_normal_rule,10000,separated_bimodal,0.28588342666625977,-5398.79519524602
0,kdenetwork_ucv,10000,asymmetric_bimodal,8.786158084869385,-5201.26504138083
0,kde_network_normal_rule,10000,asymmetric_bimodal,0.3511693477630615,-5253.467279741613
0,SP_network_ucv,10000,asymmetric_bimodal,10.1897132396698,-5201.26504138083
0,SP_network_normal_rule,10000,asymmetric_bimodal,0.28905797004699707,-5253.467279741613
0,kdenetwork_ucv,10000,double_fountain,11.18234658241272,-5050.798592879076
0,kde_network_normal_rule,10000,double_fountain,0.3450140953063965,-5089.269464722561
0,SP_network_ucv,10000,double_fountain,9.318848133087158,-5050.798592879076
0,SP_network_normal_rule,10000,double_fountain,0.565126895904541,-5089.269464722561
0,kdenetwork_ucv,10000,F_1,68.29420948028564,-15857.544647948547
0,kde_network_normal_rule,10000,F_1,4.330117464065552,-15859.443676262908
0,SP_network_ucv,10000,F_1,22.895277500152588,-15830.90726589923
0,SP_network_normal_rule,10000,F_1,0.6765596866607666,-15832.70520681945
0,kdenetwork_ucv,10000,F_2,567.7732524871826,-15768.132849096333
0,kde_network_normal_rule,10000,F_2,6.981850624084473,-15871.711700790676
0,SP_network_ucv,10000,F_2,305.1934223175049,-15795.020319185594
0,SP_network_normal_rule,10000,F_2,12.357127904891968,-15884.368723697558
